name,state,office,party,incumbent,campaign_website,profile_url
Joey Ruzevich,Illinois,U.S. House Illinois District 6,Democratic,False,,https://ballotpedia.org/Joey_Ruzevich
Thomas Fisher,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Thomas_Fisher_(Illinois)
Anthony Driver Jr.,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Anthony_Driver_Jr.
Chad Koppie,Illinois,U.S. House Illinois District 7,Republican,False,,https://ballotpedia.org/Chad_Koppie
Melissa Conyears-Ervin,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Melissa_Conyears-Ervin
Richard Boykin,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Richard_Boykin
David Ehrlich,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/David_Ehrlich
La Shawn Ford,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/La_Shawn_K._Ford
Kina Collins,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Kina_Collins
Rory Hoskins,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Rory_Hoskins
Anabel Mendoza,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Anabel_Mendoza
Jason Friedman,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Jason_Friedman
Reed Showalter,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Reed_Showalter
Jazmin Robinson,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Jazmin_Robinson
Jerico Brown,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Jerico_Brown
Anita Rao,Illinois,U.S. House Illinois District 7,Independent,False,,https://ballotpedia.org/Anita_Rao
Tekita Martinez,Illinois,U.S. House Illinois District 7,Republican,False,,https://ballotpedia.org/Tekita_Martinez
Nathan Billips,Illinois,U.S. House Illinois District 7,Independent,False,,https://ballotpedia.org/Nathan_Billips
Kamaria Kali,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Kamaria_Kali
Felix Tello,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Felix_Tello
Danica Leigh,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/Danica_Leigh
John McCombs,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/John_McCombs
William Volny,Illinois,U.S. House Illinois District 7,Democratic,False,,https://ballotpedia.org/William_Volny
Herbert Hebein,Illinois,U.S. House Illinois District 8,Republican,False,,https://ballotpedia.org/Herbert_Hebein
Mark Rice,Illinois,U.S. House Illinois District 8,Republican,False,,https://ballotpedia.org/Mark_Rice
Yasmeen Bankole,Illinois,U.S. House Illinois District 8,Democratic,False,,https://ballotpedia.org/Yasmeen_Bankole
Sanjyot Dunung,Illinois,U.S. House Illinois District 8,Democratic,False,,https://ballotpedia.org/Sanjyot_Dunung
Junaid Ahmed,Illinois,U.S. House Illinois District 8,Democratic,False,,https://ballotpedia.org/Junaid_Ahmed
Kevin Ake,Illinois,U.S. House Illinois District 8,Republican,False,,https://ballotpedia.org/Kevin_Ake
Melissa Bean,Illinois,U.S. House Illinois District 8,Democratic,False,,https://ballotpedia.org/Melissa_Bean
Jennifer Davis,Illinois,U.S. House Illinois District 8,Republican,False,,https://ballotpedia.org/Jennifer_Davis_(Illinois)
Neil Khot,Illinois,U.S. House Illinois District 8,Democratic,False,,https://ballotpedia.org/Neil_Khot
Dan Tully,Illinois,U.S. House Illinois District 8,Democratic,False,,https://ballotpedia.org/Dan_Tully
Kevin Morrison,Illinois,U.S. House Illinois District 8,Democratic,False,,https://ballotpedia.org/Kevin_Morrison_(Illinois)
Ryan Vetticad,Illinois,U.S. House Illinois District 8,Democratic,False,,https://ballotpedia.org/Ryan_Vetticad
Christ Kallas,Illinois,U.S. House Illinois District 8,Democratic,False,,https://ballotpedia.org/Christ_Kallas
Kat Abughazaleh,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Kat_Abughazaleh
Paul Friedman,Illinois,U.S. House Illinois District 9,Republican,False,,https://ballotpedia.org/Paul_Friedman_(Illinois)
Rocio Cleveland,Illinois,U.S. House Illinois District 9,Republican,False,,https://ballotpedia.org/Rocio_Cleveland
Mark Su,Illinois,U.S. House Illinois District 9,Republican,False,,https://ballotpedia.org/Mark_Su
Joseph Wentzel,Illinois,U.S. House Illinois District 8,Democratic,False,,https://ballotpedia.org/Joseph_Wentzel
John Elleson,Illinois,U.S. House Illinois District 9,Republican,False,,https://ballotpedia.org/John_Elleson
Bushra Amiwala,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Bushra_Amiwala
Natalie Angelo,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Natalie_Angelo
Phil Andrew,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Phil_Andrew
Patricia Brown,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Patricia_Brown
Daniel K. Biss,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Daniel_K._Biss
Jeff Cohen,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Jeff_Cohen
Sam Polan,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Sam_Polan
Hoan Huynh,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Hoan_Huynh
Bethany Johnson,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Bethany_Johnson
Mark Fredrickson,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Mark_Fredrickson
Justin Ford,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Justin_Ford_(Illinois)
Laura Fine,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Laura_Fine
Nick Pyati,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Nick_Pyati
Mike Simmons,Illinois,U.S. House Illinois District 9,Democratic,False,,https://ballotpedia.org/Mike_Simmons_(Illinois)
